name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,discount_price EUR,actual_price EUR,discount_price EUR_1,actual_price EUR_2
"Evapolar EvaLIGHT Plus EV-1500 Personal Evaporative Air Cooler and Humidifier/Portable Air Conditioner, Black",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61chBF1Tx0L._AC_UL320_.jpg,https://www.amazon.in/Evapolar-EvaLIGHT-Evaporative-Humidifier-Conditioner/dp/B081LPQJ5Q/ref=sr_1_677?qid=1679134273&s=kitchen&sr=1-677,3.5,774,"₹28,674","₹36,674",28674,36674,315414,403414
"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_18?qid=1679134237&s=kitchen&sr=1-18,4.1,730,"₹44,990","₹67,200",44990,67200,49489,7392
"Blue Star 1.5 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, D...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/515BpZfhH1L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Convertible-IA318FNU/dp/B09RG2SZVX/ref=sr_1_27?qid=1679134237&s=kitchen&sr=1-27,3.9,700,"₹35,990","₹62,250",35990,62250,39589,68475
Panasonic 1 Ton 3 Star Wi-Fi Inverter Split Air Conditioner (White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/51oqlNHOBaL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Convertible-Anti-Corrosion-CU-SU12XKYWA/dp/B09R3T1QLW/ref=sr_1_58?qid=1679134240&s=kitchen&sr=1-58,4.2,686,"₹32,490","₹48,100",32490,48100,35739,5291
"Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51sTXvsanQL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-Filtration/dp/B0BR58HRD2/ref=sr_1_12?qid=1679134237&s=kitchen&sr=1-12,4.1,674,"₹30,990","₹58,190",30990,58190,34089,64009
Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/71ovlk0vAwL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Window-123-Lyi-LZF/dp/B00LWRFC1W/ref=sr_1_93?qid=1679134241&s=kitchen&sr=1-93,4.1,655,"₹27,990","₹29,490",27990,29490,30789,32439
"Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67RLLJC/ref=sr_1_8?qid=1679134237&s=kitchen&sr=1-8,4.1,630,"₹34,490","₹67,790",34490,67790,37939,74569
"Voltas 1 Ton 3 Star Split Air Conditioner with High Ambient Cooling.(123V CZQ, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61JiAUPxQ0L._AC_UL320_.jpg,https://www.amazon.in/Voltas-Conditioner-Cooling-123V-CZQ/dp/B097YQPMB5/ref=sr_1_347?qid=1679134256&s=kitchen&sr=1-347,4.3,630,"₹33,490","₹59,990",33490,59990,36839,65989
"LG 1.5 Ton 4 Star DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q19RNYE/dp/B09NS5Y4BG/ref=sr_1_177?qid=1679134247&s=kitchen&sr=1-177,4.2,622,"₹43,890","₹59,990",43890,59990,48279,65989
"Samsung 1 Ton 3 Star Fixed Speed Split AC (Copper, AR12RG3BAWK, 2022 Model, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/619H-udsZyL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Split-Copper-AR12RG3BAWK/dp/B08526FXSS/ref=sr_1_294?qid=1679134252&s=kitchen&sr=1-294,4,591,"₹38,811","₹45,990",38811,45990,426921,50589
"Blue Star 1.5 Ton 2 Star Fixed Speed Split AC (Copper, Anti Corrosive Gold Fins, Dry Mode, Eco Mode, Hidden Display, Self ...",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51vil7WHiOL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Corrosive-Stabiliser-FA218YNU/dp/B0BQVPKT74/ref=sr_1_532?qid=1679134265&s=kitchen&sr=1-532,4.2,581,"₹35,490","₹52,500",35490,52500,39039,5775
